method,culture,prompt_language,seed,model_pair,edge_distance
global,us,english,0,gpt-4.1 vs gpt-4.1-mini,0.035918367346938776
global,us,english,1,gpt-4.1 vs gpt-4.1-mini,0.04816326530612245
global,us,english,0,gpt-4.1 vs gpt-4.1-nano,0.035918367346938776
global,us,english,1,gpt-4.1 vs gpt-4.1-nano,0.05755102040816327
global,us,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.03428571428571429
global,us,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.04938775510204082
global,us,spanish,0,gpt-4.1 vs gpt-4.1-mini,0.09918367346938775
global,us,spanish,1,gpt-4.1 vs gpt-4.1-mini,0.04938775510204082
global,us,spanish,0,gpt-4.1 vs gpt-4.1-nano,0.17265306122448978
global,us,spanish,1,gpt-4.1 vs gpt-4.1-nano,0.0636734693877551
global,us,spanish,0,gpt-4.1-mini vs gpt-4.1-nano,0.13306122448979593
global,us,spanish,1,gpt-4.1-mini vs gpt-4.1-nano,0.037142857142857144
global,us,hindi,0,gpt-4.1 vs gpt-4.1-mini,0.027346938775510202
global,us,hindi,1,gpt-4.1 vs gpt-4.1-mini,0.03387755102040816
global,us,hindi,0,gpt-4.1 vs gpt-4.1-nano,0.04122448979591837
global,us,hindi,1,gpt-4.1 vs gpt-4.1-nano,0.03877551020408163
global,us,hindi,0,gpt-4.1-mini vs gpt-4.1-nano,0.02857142857142857
global,us,hindi,1,gpt-4.1-mini vs gpt-4.1-nano,0.029387755102040815
global,us,japanese,0,gpt-4.1 vs gpt-4.1-mini,0.031020408163265307
global,us,japanese,1,gpt-4.1 vs gpt-4.1-mini,0.043673469387755105
global,us,japanese,0,gpt-4.1 vs gpt-4.1-nano,0.035510204081632656
global,us,japanese,1,gpt-4.1 vs gpt-4.1-nano,0.0473469387755102
global,us,japanese,0,gpt-4.1-mini vs gpt-4.1-nano,0.027346938775510202
global,us,japanese,1,gpt-4.1-mini vs gpt-4.1-nano,0.05183673469387755
local,us,english,0,gpt-4.1 vs gpt-4.1-mini,0.0653061224489796
local,us,english,1,gpt-4.1 vs gpt-4.1-mini,0.10571428571428572
local,us,english,0,gpt-4.1 vs gpt-4.1-nano,0.13551020408163264
local,us,english,1,gpt-4.1 vs gpt-4.1-nano,0.15551020408163266
local,us,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.12897959183673469
local,us,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.16326530612244897
local,us,spanish,0,gpt-4.1 vs gpt-4.1-mini,0.08204081632653061
local,us,spanish,1,gpt-4.1 vs gpt-4.1-mini,0.1110204081632653
local,us,spanish,0,gpt-4.1 vs gpt-4.1-nano,0.13551020408163264
local,us,spanish,1,gpt-4.1 vs gpt-4.1-nano,0.16612244897959183
local,us,spanish,0,gpt-4.1-mini vs gpt-4.1-nano,0.13755102040816328
local,us,spanish,1,gpt-4.1-mini vs gpt-4.1-nano,0.16938775510204082
local,us,hindi,0,gpt-4.1 vs gpt-4.1-mini,0.08326530612244898
local,us,hindi,1,gpt-4.1 vs gpt-4.1-mini,0.09755102040816327
local,us,hindi,0,gpt-4.1 vs gpt-4.1-nano,0.12326530612244897
local,us,hindi,1,gpt-4.1 vs gpt-4.1-nano,0.1710204081632653
local,us,hindi,0,gpt-4.1-mini vs gpt-4.1-nano,0.11673469387755102
local,us,hindi,1,gpt-4.1-mini vs gpt-4.1-nano,0.16163265306122448
local,us,japanese,0,gpt-4.1 vs gpt-4.1-mini,0.08612244897959184
local,us,japanese,1,gpt-4.1 vs gpt-4.1-mini,0.11142857142857143
local,us,japanese,0,gpt-4.1 vs gpt-4.1-nano,0.13346938775510203
local,us,japanese,1,gpt-4.1 vs gpt-4.1-nano,0.16163265306122448
