condition,seed,graph_exists,png_exists,png_ok,homophily_ok,network_metrics_ok,metrics_have_required_scalars,cost_stats_ok,node_count,edge_count,node_count_ok,edge_count_ok
global_gpt-4.1-nano_culture_us_lang_english,0,True,True,True,True,True,True,True,50,27,True,True
global_gpt-4.1-nano_culture_us_lang_english,1,True,True,True,True,True,True,True,50,47,True,True
global_gpt-4.1-mini_culture_us_lang_english,0,True,True,True,True,True,True,True,50,65,True,True
global_gpt-4.1-mini_culture_us_lang_english,1,True,True,True,True,True,True,True,50,80,True,True
global_gpt-4.1_culture_us_lang_english,0,True,True,True,True,True,True,True,50,65,True,True
global_gpt-4.1_culture_us_lang_english,1,True,True,True,True,True,True,True,50,102,True,True
global_gpt-4.1-nano_culture_us_lang_spanish,0,True,True,True,True,True,True,True,50,260,True,True
global_gpt-4.1-nano_culture_us_lang_spanish,1,True,True,True,True,True,True,True,50,46,True,True
global_gpt-4.1-mini_culture_us_lang_spanish,0,True,True,True,True,True,True,True,50,122,True,True
global_gpt-4.1-mini_culture_us_lang_spanish,1,True,True,True,True,True,True,True,50,51,True,True
global_gpt-4.1_culture_us_lang_spanish,0,True,True,True,True,True,True,True,50,213,True,True
global_gpt-4.1_culture_us_lang_spanish,1,True,True,True,True,True,True,True,50,118,True,True
global_gpt-4.1-nano_culture_us_lang_hindi,0,True,True,True,True,True,True,True,50,45,True,True
global_gpt-4.1-nano_culture_us_lang_hindi,1,True,True,True,True,True,True,True,50,22,True,True
global_gpt-4.1-mini_culture_us_lang_hindi,0,True,True,True,True,True,True,True,50,35,True,True
global_gpt-4.1-mini_culture_us_lang_hindi,1,True,True,True,True,True,True,True,50,52,True,True
global_gpt-4.1_culture_us_lang_hindi,0,True,True,True,True,True,True,True,50,66,True,True
global_gpt-4.1_culture_us_lang_hindi,1,True,True,True,True,True,True,True,50,75,True,True
global_gpt-4.1-nano_culture_us_lang_japanese,0,True,True,True,True,True,True,True,50,27,True,True
global_gpt-4.1-nano_culture_us_lang_japanese,1,True,True,True,True,True,True,True,50,47,True,True
global_gpt-4.1-mini_culture_us_lang_japanese,0,True,True,True,True,True,True,True,50,44,True,True
global_gpt-4.1-mini_culture_us_lang_japanese,1,True,True,True,True,True,True,True,50,86,True,True
global_gpt-4.1_culture_us_lang_japanese,0,True,True,True,True,True,True,True,50,64,True,True
global_gpt-4.1_culture_us_lang_japanese,1,True,True,True,True,True,True,True,50,73,True,True
local_gpt-4.1-nano_n5_culture_us_lang_english,0,True,True,True,True,True,True,True,50,213,True,True
local_gpt-4.1-nano_n5_culture_us_lang_english,1,True,True,True,True,True,True,True,50,250,True,True
local_gpt-4.1-mini_n5_culture_us_lang_english,0,True,True,True,True,True,True,True,50,191,True,True
local_gpt-4.1-mini_n5_culture_us_lang_english,1,True,True,True,True,True,True,True,50,238,True,True
local_gpt-4.1_n5_culture_us_lang_english,0,True,True,True,True,True,True,True,50,189,True,True
local_gpt-4.1_n5_culture_us_lang_english,1,True,True,True,True,True,True,True,50,227,True,True
local_gpt-4.1-nano_n5_culture_us_lang_spanish,0,True,True,True,True,True,True,True,50,214,True,True
local_gpt-4.1-nano_n5_culture_us_lang_spanish,1,True,True,True,True,True,True,True,50,259,True,True
local_gpt-4.1-mini_n5_culture_us_lang_spanish,0,True,True,True,True,True,True,True,50,197,True,True
local_gpt-4.1-mini_n5_culture_us_lang_spanish,1,True,True,True,True,True,True,True,50,240,True,True
local_gpt-4.1_n5_culture_us_lang_spanish,0,True,True,True,True,True,True,True,50,186,True,True
local_gpt-4.1_n5_culture_us_lang_spanish,1,True,True,True,True,True,True,True,50,232,True,True
